orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,is_planet
10.06524317,0.0010532999999999999,0.031153,,,30.3,1.369,1.0
12.3935651,0.0009166,0.032536,,,35.8,3.8896,1.0
3.689920099,0.00042669999999999996,0.018878,,,35.6,2.6557,1.0
4.431238488,0.0010109,0.02933,,,71.1,3.15,1.0
13.61014819,0.0057329,0.192842,,,184.1,2.594,0.0
10.44331991,0.0011598,0.030416,,,51.7,2.743,0.0
2.237489571,0.00031580000000000003,0.015942,,,30.7,1.8119,1.0
5.851520671,0.0330036,0.166109,,,1630.4,3.11058,0.0
3.167893418,0.0007812,0.025513,,,64.8,2.1814,1.0
4.311780262,0.001154,0.030716,,,86.1,2.7251,1.0
20.0504494,0.0008409,0.026569,,,37.8,4.556,1.0
5.743469797,0.0012402000000000001,0.032147,,,79.7,3.4412,1.0
19.974485239,0.0402931,0.243941,,,1398.8,4.23479,0.0
3.166353562,0.0014734000000000001,0.035047,,,128.3,3.3129,1.0
23.899634407,0.0209531,0.436512,,,547.8,3.81881,0.0
161.78832712,0.08775,0.273088,,,704.5,5.31,0.0
16.56806842,0.0013314000000000002,0.032537,,,41.9,4.2647,1.0
47.3329299,0.0009315,0.027927,,,14.0,2.708,1.0
0.856895349,8.22e-05,0.00864,,,33.1,1.3078,0.0
40.8065333,0.0003139,0.016213,,,54.8,13.135,1.0
140.10765,0.00026680000000000003,0.014948,,,29.0,18.503,1.0
3.4815917,0.00013519999999999998,0.010446,,,23.4,1.8069,1.0
29.12436474,0.006496,0.290396,,,63.4,3.4209,0.0
1.103971357,0.0003179,0.016876,,,21.7,0.926,0.0
3.353732008,0.0012647000000000001,0.032813,,,47.8,1.4598,1.0
6.877446033,0.0016323,0.040795,,,39.6,1.3692,1.0
28.46464804,0.0016298,0.037174,,,28.9,2.6657,1.0
1.096583368,0.0003085,0.016192,,,44.3,2.1188,0.0
0.93374614,0.0017175,0.317424,,,365.7,6.551,0.0
6.47179275,0.0004025,0.018468,,,30.7,6.788,0.0
64.617518,0.0024866,0.056124,,,61.9,5.796,1.0
13.21409607,0.0011547999999999999,0.034865,,,38.0,3.5641,1.0
6.05729966,0.0003852,0.017666,,,35.1,3.7419,1.0
52.09081627,0.0028940999999999997,0.049363,,,243.5,8.6388,1.0
10.93725572,0.0004216,0.021998,,,24.6,3.0822,1.0
10.80487163,0.0002927,0.015724,,,27.4,2.7215,0.0
13.71938426,0.0003164,0.016377,,,48.3,5.5677,1.0
2.73987398,0.0206322,0.141141,,,1454.3,4.15886,0.0
5.801880653,0.041924,0.208621,,,396.8,4.2608,0.0
13.02493307,0.0007784,0.025235,,,119.3,4.5706,1.0
11.37936986,0.0010235,0.035628,,,37.9,2.6255,1.0
23.9800854,0.000104,0.011879,,,17.1,5.351,1.0
26.39432897,0.0015109000000000001,0.03681,,,48.2,3.573,1.0
8.47237911,0.0011235,0.030119,,,47.6,2.7245,1.0
60.4189369,0.0009312999999999999,0.027422,,,20.1,5.039,1.0
12.611904345,0.0061056,0.073758,,,277.2,5.1497,1.0
9.76734503,0.0005691,0.026407,,,21.1,1.6585,1.0
11.523067458,0.0005073,0.020288,,,142.0,3.8757,1.0
2.861159894,0.0010142999999999999,0.039171,,,58.3,1.8832,0.0
16.08518937,0.0014424000000000001,0.040767,,,62.6,3.984,1.0
7.49018305,0.0011236,0.029843,,,53.0,2.7297,1.0
6.491682808,0.0071633,0.079893,,,502.3,4.301,1.0
