kepid,is_planet,orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,mission,pl_name
6665223,0.0,119.40817159,0.018563299999999998,0.170803,,,508.4,9.3537,kepler,
6665223,0.0,419.97507836,0.0002751,0.016067,,,5.9,12.1687,kepler,
6545358,0.0,1.171536413,0.0011327,0.043929,,,67.0,1.5878,kepler,
10925104,1.0,5.188563677,0.0003587,0.017039,,,56.4,2.3683,kepler,Kepler-114 b
6390824,0.0,0.973547911,0.00043569999999999997,0.122228,,,38.7,2.2858,kepler,
6546528,0.0,3.053563251,0.0005084,0.231182,,,50.4,3.2551,kepler,
8395660,1.0,43.84439721,0.0006152,0.025934,,,83.7,6.802,kepler,Kepler-106 e
11507101,1.0,38.3775486,0.0007242,0.024901,,,34.7,5.588,kepler,Kepler-672 b
11656840,0.0,7.442652004,0.0244462,0.143936,,,835.6,2.3078,kepler,
11754553,1.0,16.38489988,0.0011270999999999998,0.029758,,,28.9,3.0249,kepler,Kepler-52 c
11754553,1.0,7.8774163,0.0013061,0.03209,,,38.7,2.0805,kepler,Kepler-52 b
11754553,1.0,36.4454001,0.0011223,0.029681,,,21.7,4.007,kepler,Kepler-52 d
11812062,1.0,3.728732147,0.0052265,0.068178,,,345.2,2.683,kepler,Kepler-673 b
11869052,,20.5452375,0.0002185,0.017424,,,18.5,2.517,kepler,
6267425,0.0,3.166465862,0.0043571999999999994,0.348902,,,122.1,2.9381,kepler,
6276477,1.0,10.35533116,0.0007506,0.024674,,,49.2,3.1775,kepler,Kepler-701 b
6291653,1.0,10.526294577,0.009768,0.095143,,,482.3,2.5211,kepler,Kepler-702 b
6392727,1.0,4.583520948,0.0038121,0.056287,,,99.5,2.7055,kepler,Kepler-703 b
6422070,1.0,3.76181843,0.0005106,0.025656,,,35.9,3.5176,kepler,Kepler-704 b
6428700,1.0,8.20396958,0.0010244000000000002,0.033372,,,54.4,2.9667,kepler,Kepler-242 b
8544996,1.0,4.082274889,0.017859200000000002,0.121652,,,1669.1,3.23015,kepler,Kepler-723 b
8552202,,3.886655224,0.0005816,0.023262,,,48.1,3.1646,kepler,
